SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] Removing directory '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc'.
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] Copy '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/src/dut.sv' to '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc/src/dut.sv'.
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] Copy '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/src/fifo_sva_monitor.sv' to '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc/src/fifo_sva_monitor.sv'.
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] Copy '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/src/formal_wrapper.sv' to '/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc/src/formal_wrapper.sv'.
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: smtbmc
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] base: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] base: finished (returncode=0)
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] prep: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc/model; yosys -ql design_prep.log design_prep.ys"
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] prep: finished (returncode=0)
SBY 19:06:08 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] smt2: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] smt2: finished (returncode=0)
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: starting process "cd /Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc; yosys-smtbmc --presat --unroll --noprogress -t 50  --append 0 --dump-vcd engine_0/trace.vcd --dump-yw engine_0/trace.yw --dump-vlogtb engine_0/trace_tb.v --dump-smtc engine_0/trace.smtc model/design_smt2.smt2"
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Solver: yices
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 0..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 0..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 1..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 1..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 2..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 2..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 3..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 3..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 4..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 4..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 5..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 5..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 6..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 6..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 7..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 7..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assumptions in step 8..
SBY 19:06:09 [/Users/gautamthakur/Downloads/veriassist/backend/data/formal_work/formal_59af6849/assertions/formal_59af6849__10_ap_fifo_data_after_empty_1_4/formal_59af6849__10_ap_fifo_data_after_empty_1_4_bmc] engine_0: ##   0:00:00  Checking assertions in step 8..
